Title,Year,Duration
12-Bar Original,1965,174
A Day in the Life,1967,335
A Hard Day's Night,1964,152
A Shot of Rhythm and Blues,1963,104
A Taste of Honey,1963,163
Across the Universe,1968,230
Act Naturally,1965,139
Ain't She Sweet,1961,150
All I've Got to Do,1963,124
